Asiakas Pvm	Myyjä		Toimipiste	Myynti
Kukkasaari Ky 45620	Salmi		Tampere	8493
Diamond Oy 45620	Isotalo		Helsinki	5520
Lahti Oy 45621	Helminen		Oulu	5827,708845
Diamond Oy 45622	Isotalo		Tampere	6747
Sandström AB 45623	Karjalainen		Helsinki	3704
Uusitalo Oy 45623	Uusitalo		Kuopio	1397,689105
Diamond Oy 45623	Uusitalo		Turku	7324,454474
Kihveli Oy 45624	Karjalainen		Kuopio	9461
Sandström AB 45624	Helminen		Oulu	2796,899626
Masamyynti Oy 45624	Helminen		Helsinki	445,2895887
Sokerisuuda Ky 45625	Salmi		Tampere	8820,764952
Kihveli Oy 45625	Karjalainen		Kuopio	7256,932601
Uusitalo Oy 45626	Isotalo		Turku	1948,547765
Sokerisuuda Ky 45627	Isotalo		Tampere	2268
Kukkasaari Ky 45627	Isotalo		Helsinki	6168,485236
Kihveli Oy 45627	Uusitalo		Turku	2992,528551
Sandström AB 45628	Salmi		Kuopio	9541
Lahti Oy 45628	Salmi		Tampere	2746
Masamyynti Oy 45629	Helminen		Oulu	2814
Kukkasaari Ky 45629	Salmi		Oulu	2539
Kihveli Oy 45629	Karjalainen		Helsinki	4801,122079
Kukkasaari Ky 45629	Salmi		Tampere	8213,189086
Sandström AB 45629	Uusitalo		Tampere	7098,131916
Uusitalo Oy 45630	Helminen		Tampere	4221,456649
Diamond Oy 45630	Helminen		Turku	5321,478876
Uusitalo Oy 45630	Salmi		Turku	3369,957823
Kihveli Oy 45630	Isotalo		Tampere	8880,648411
Kihveli Oy 45631	Isotalo		Oulu	8775
Diamond Oy 45632	Salmi		Helsinki	1156
Uusitalo Oy 45632	Isotalo		Kuopio	3403,272437
Sokerisuuda Ky 45632	Karjalainen		Turku	3220,879846
Diamond Oy 45632	Uusitalo		Turku	6927,702526
Kukkasaari Ky 45633	Helminen		Tampere	8585
Masamyynti Oy 45633	Uusitalo		Turku	3857,085894
Kukkasaari Ky 45633	Isotalo		Tampere	9402,43269
Lahti Oy 45633	Isotalo		Helsinki	6479,548422
Diamond Oy 45633	Salmi		Kuopio	6500,735678
Kukkasaari Ky 45634	Isotalo		Kuopio	9159
Diamond Oy 45634	Karjalainen		Kuopio	9419
Lahti Oy 45634	Uusitalo		Turku	3581,371575
Uusitalo Oy 45634	Uusitalo		Kuopio	4033,902617
Diamond Oy 45634	Salmi		Turku	2938,881173
Diamond Oy 45635	Isotalo		Tampere	6884
Diamond Oy 45635	Isotalo		Helsinki	2338
Lahti Oy 45635	Uusitalo		Turku	5182,266154
Lahti Oy 45636	Isotalo		Helsinki	7632,875598
Kihveli Oy 45636	Karjalainen		Turku	2244,15998
				
Diamond Oy 45636	Isotalo		Oulu	7131,584953
Kukkasaari Ky 45637	Uusitalo		Oulu	3879,077073
Lahti Oy 45638	Salmi		Oulu	7824,545036
Diamond Oy 45640	Salmi		Kuopio	4721
Masamyynti Oy 45640	Uusitalo		Turku	4592,343604
Kihveli Oy 45640	Uusitalo		Helsinki	780,9035865
Kukkasaari Ky 45641	Helminen		Kuopio	3006
Kihveli Oy 45641	Salmi		Helsinki	9189,865974
Kukkasaari Ky 45641	Isotalo		Kuopio	646,8258611
Uusitalo Oy 45641	Salmi		Turku	6378,501616
Diamond Oy 45641	Helminen		Kuopio	287,1430592
Masamyynti Oy 45641	Isotalo		Oulu	9521,204292
Kukkasaari Ky 45641	Salmi		Kuopio	4110,800935
Masamyynti Oy 45642	Karjalainen		Kuopio	6025
Kukkasaari Ky 45642	Karjalainen		Oulu	4781
Masamyynti Oy 45642	Isotalo		Kuopio	3163,396935
Sokerisuuda Ky 45643	Salmi		Helsinki	976
Kihveli Oy 45643	Karjalainen		Tampere	4559
Masamyynti Oy 45643	Salmi		Kuopio	9996,617247
Masamyynti Oy 45643	Helminen		Helsinki	5626,524376
Sokerisuuda Ky 45643	Salmi		Helsinki	140,2707994
Sokerisuuda Ky 45643	Isotalo		Helsinki	8350,884002
Kihveli Oy 45644	Karjalainen		Tampere	261,995648
Kukkasaari Ky 45645	Karjalainen		Oulu	8452
Masamyynti Oy 45645	Karjalainen		Helsinki	3615
Masamyynti Oy 45645	Isotalo		Tampere	1181,612982
Diamond Oy 45645	Uusitalo		Oulu	9769,011362
Kukkasaari Ky 45645	Helminen		Helsinki	1910,261574
Kukkasaari Ky 45645	Uusitalo		Kuopio	7394,429623
Lahti Oy 45646	Helminen		Oulu	2423,68
Kihveli Oy 45646	Uusitalo		Tampere	3462,083337
Sandström AB 45646	Uusitalo		Kuopio	471,6901785
Lahti Oy 45647	Karjalainen		Kuopio	5454,596413
Diamond Oy 45647	Helminen		Oulu	792,3816575
Masamyynti Oy 45647	Salmi		Tampere	4438,939915
Masamyynti Oy 45648	Isotalo		Kuopio	3053
Kihveli Oy 45649	Salmi		Tampere	8574
Masamyynti Oy 45649	Uusitalo		Turku	984,6807119
Kihveli Oy 45649	Helminen		Helsinki	617,815379
Masamyynti Oy 45649	Karjalainen		Helsinki	9258,09432
Lahti Oy 45649	Karjalainen		Turku	331,7987336
Diamond Oy 45650	Isotalo		Helsinki	677
Diamond Oy 45650	Salmi		Oulu	7154
Kihveli Oy 45650	Isotalo		Oulu	9287,773486
Kukkasaari Ky 45650	Uusitalo		Helsinki	313,6217186
Diamond Oy 45650	Uusitalo		Oulu	4128,610703
Diamond Oy 45651	Karjalainen		Helsinki	6562
Uusitalo Oy 45651	Uusitalo		Helsinki	4445,393297
Masamyynti Oy 45651	Isotalo		Kuopio	2349,384659
Sandström AB 45651	Uusitalo		Kuopio	5752,388467
Kukkasaari Ky 45652	Salmi		Helsinki	4847
Masamyynti Oy 45652	Karjalainen		Helsinki	5499
				
Sokerisuuda Ky 45652	Salmi		Tampere	9454,344236
Sandström AB 45653	Helminen		Tampere	535
Sokerisuuda Ky 45654	Isotalo		Helsinki	514
Kihveli Oy 45654	Isotalo		Tampere	8410
Sandström AB 45654	Helminen		Oulu	9143
Sandström AB 45654	Karjalainen		Oulu	4771
Kukkasaari Ky 45654	Salmi		Kuopio	9555
Uusitalo Oy 45654	Isotalo		Helsinki	6809,744343
Uusitalo Oy 45654	Uusitalo		Kuopio	5388,888225
Kukkasaari Ky 45654	Salmi		Helsinki	8170,945181
Lahti Oy 45655	Salmi		Helsinki	1677
Sandström AB 45655	Isotalo		Helsinki	6894
Kihveli Oy 45655	Isotalo		Kuopio	4988,424586
Kihveli Oy 45655	Karjalainen		Kuopio	9928,550348
Diamond Oy 45656	Salmi		Helsinki	495
Lahti Oy 45656	Karjalainen		Helsinki	6192,239792
Sokerisuuda Ky 45657	Karjalainen		Tampere	2121
Kukkasaari Ky 45657	Salmi		Helsinki	5434
